approach,n_ris,spacing_key,spacing_lambda,spacing_label,training_policy,evaluation_condition,channel_gain,source_file
Transformer,64,lambda_2,0.5,\lambda/2,mc_aware,no_coupling_eval,4420.6925,outputs/Transformer/64/lambda_2.txt
Transformer,64,lambda_2,0.5,\lambda/2,mc_aware,with_coupling_eval,4431.239,outputs/Transformer/64/lambda_2.txt
Transformer,64,lambda,1.0,\lambda,standard_no_mc,no_coupling_eval,4634.2034,outputs/Transformer/64/lambda.txt
Transformer,64,lambda,1.0,\lambda,standard_no_mc,with_coupling_eval,4633.6701,outputs/Transformer/64/lambda.txt
Transformer,64,lambda,1.0,\lambda,mc_aware,no_coupling_eval,4631.2644,outputs/Transformer/64/lambda.txt
Transformer,64,lambda,1.0,\lambda,mc_aware,with_coupling_eval,4632.1385,outputs/Transformer/64/lambda.txt
Transformer,256,lambda_4,0.25,\lambda/4,standard_no_mc,no_coupling_eval,9047.0213,outputs/Transformer/256/lambda_4.txt
Transformer,256,lambda_4,0.25,\lambda/4,standard_no_mc,with_coupling_eval,8914.0699,outputs/Transformer/256/lambda_4.txt
Transformer,256,lambda_4,0.25,\lambda/4,mc_aware,no_coupling_eval,8570.2278,outputs/Transformer/256/lambda_4.txt
Transformer,256,lambda_4,0.25,\lambda/4,mc_aware,with_coupling_eval,10157.9257,outputs/Transformer/256/lambda_4.txt
Transformer,256,lambda_2,0.5,\lambda/2,standard_no_mc,no_coupling_eval,5141.4109,outputs/Transformer/256/lambda_2.txt
Transformer,256,lambda_2,0.5,\lambda/2,standard_no_mc,with_coupling_eval,5157.2966,outputs/Transformer/256/lambda_2.txt
Transformer,256,lambda_2,0.5,\lambda/2,mc_aware,no_coupling_eval,5149.931,outputs/Transformer/256/lambda_2.txt
Transformer,256,lambda_2,0.5,\lambda/2,mc_aware,with_coupling_eval,5257.4181,outputs/Transformer/256/lambda_2.txt
Transformer,256,lambda,1.0,\lambda,standard_no_mc,no_coupling_eval,5785.3179,outputs/Transformer/256/lambda.txt
Transformer,256,lambda,1.0,\lambda,standard_no_mc,with_coupling_eval,5787.7269,outputs/Transformer/256/lambda.txt
Transformer,256,lambda,1.0,\lambda,mc_aware,no_coupling_eval,5810.9347,outputs/Transformer/256/lambda.txt
Transformer,256,lambda,1.0,\lambda,mc_aware,with_coupling_eval,5820.5748,outputs/Transformer/256/lambda.txt
